SentenceID,Transcript,Device
speaker02_m_nn_utt22,kula badhe tindak dhateng perpustakaan kangge ngampil buku pelajaran,
speaker02_m_nn_utt23,ampun kesupen nggarap tugas griya ingkang dipun paringaken bapak guru,
speaker02_m_nn_utt24,mbenjang enjang kita kedah wungu langkung gasik supados boten telat,
speaker02_m_nn_utt25,punapa panjenengan sampun dhahar siyang wonten ing kantin sisih mrika,
speaker02_m_nn_utt26,reginipun awis sanget punapa saged dipun tawar sakedhik malih,
speaker02_m_nn_utt27,monggo pinarak wonten ing kursi ingkang sampun disediakaken ting ruang tamu,
speaker02_m_nn_utt28,amargi jawah deres kula boten saged dugi dhateng acara kasebat,
speaker02_m_nn_utt29,kula saweg sinau basa jawi alus kangge tugas kuliah kula,
speaker02_m_nn_utt30,kula saweg ngentosi kanca wonten ing ngajeng gerbang sekolah wau,
speaker03_m_nn_utt01,sugeng enjing kulo badhe dhahar,
speaker03_m_nn_utt02,kepripun kabaripun panjenengan,
speaker03_m_nn_utt03,dinten meniko dinten selasa,
speaker03_m_nn_utt04,kulo badhe nyuwun pirsa,
speaker03_m_nn_utt05,menawi panjenengan saged kulo suwun tulung,
speaker03_m_nn_utt06,sampun jam pitu sonten,
speaker03_m_nn_utt07,bapak sampun kundur saking kantor,
speaker03_m_nn_utt08,ibu nembé waosan koran,
speaker03_m_nn_utt09,kulo wangsul malih benjing énjing,
speaker03_m_nn_utt10,kulo tumbas setunggal kembang,
speaker03_m_nn_utt11,kula taksih sinau wonten griyo,
speaker03_m_nn_utt12,mangga pinarak rumiyin ing ngriki,
speaker03_m_nn_utt13,buku meniko inggil sanget reginipun,
speaker03_m_nn_utt14,panjenengan badhé tindak dateng pundi,
speaker03_m_nn_utt15,dalemipun adoh saking sekolahan,
speaker03_m_nn_utt16,kulo mangkat sekolah numpak pit,
speaker03_m_nn_utt17,dinten sabtu benjing prei,
speaker03_m_nn_utt18,kula gadhah rékaman audio kalih,
speaker03_m_nn_utt19,kulo badhe siram rumiyin,
speaker03_m_nn_utt20,énjing meniko hawane asrep,
speaker03_m_nn_utt21,menawi panjenengan kerso dhahar nopo,
speaker03_m_nn_utt22,kula ajeng tilem mawon,
speaker03_m_nn_utt23,sinten ingkang mundhut tèh meniko,
speaker03_m_nn_utt24,sepedhah meniko warninipun abrit,
speaker03_m_nn_utt25,kulo badhe tanglet babakan tugas,
speaker03_m_nn_utt26,sampun cekap semanten atur kulo,
speaker03_m_nn_utt27,kulo kedah sinau tigang wulan,
speaker03_m_nn_utt28,énjing meniko kulo badhe nyapu,
speaker03_m_nn_utt29,panjenengan kagungan dhuwit gangsal éwu,
speaker03_m_nn_utt30,maturnuwun sanget nggih sedoyo,
speaker04_f_n_utt01,kowe dina iki lunga kampus apa orak?,Redmi Note 9
speaker04_f_n_utt02,aku seneng nganggo klambi werna putih,Redmi Note 9
speaker04_f_n_utt03,aku arep ngisi botol ngombe dhisik,Redmi Note 9
speaker04_f_n_utt04,"aku ngantuk banget, kayake aku arep turu dhisik",Redmi Note 9
speaker04_f_n_utt05,"saben kali aku lunga omahmu, kowe orak ana",Redmi Note 9
speaker04_f_n_utt06,kowe gelem dolan ing omahku sesuk esuk?,Redmi Note 9
speaker04_f_n_utt07,saben dina minggu aku mesti resik-resik kamar,Redmi Note 9
speaker04_f_n_utt08,kowe gelem melu aku lunga pasar orak?,Redmi Note 9
speaker04_f_n_utt09,sadurunge lunga aku arep masak sega dhisik,Redmi Note 9
speaker04_f_n_utt10,aku seneng banget ajar aksara jawa,Redmi Note 9
speaker04_f_n_utt11,moga-moga aku entuk nilai apik ing tugas iki,Redmi Note 9
speaker04_f_n_utt12,aku duwe kucing siji wernane abu-abu ing omah,Redmi Note 9
speaker04_f_n_utt13,ngrungoke lagu karo nggambar kuwi enak banget,Redmi Note 9
speaker04_f_n_utt14,keretane kok suwi banget ya,Redmi Note 9
speaker04_f_n_utt15,aku seneng dolanan karo kanca-kancaku,Redmi Note 9
speaker04_f_n_utt16,wingi wengi aku turu ana wolung jam,Redmi Note 9
speaker04_f_n_utt17,paling sesuk aku lunga kantor jam sanga,Redmi Note 9
speaker04_f_n_utt18,dinten punika kula badhe tindak kampus,Redmi Note 9
speaker04_f_n_utt19,aku wis ngenteni kanggo tuku panganan iki ana sak jam,Redmi Note 9
speaker04_f_n_utt20,ayo sesuk lunga bareng delok film anyar iki!,Redmi Note 9
speaker04_f_n_utt21,wengi iki kok hawane adem tenan ya,Redmi Note 9
speaker04_f_n_utt22,aku lali wingi udan apa orak,Redmi Note 9
speaker04_f_n_utt23,aku wis lungguh ing kursi iki ana telung jam,Redmi Note 9
speaker04_f_n_utt24,ngombe jus pas panas-panas ngene seger tenan,Redmi Note 9
speaker04_f_n_utt25,aja lali tuku oleh-oleh kanggo aku ya,Redmi Note 9
speaker04_f_n_utt26,angel tenan soal ujian iki!,Redmi Note 9
speaker04_f_n_utt27,sampun wonten selawe dinten wiwiting kula sumerep sampeyan,Redmi Note 9
speaker04_f_n_utt28,yen tangi esuk aku mesti ae ngantuk ing kelas,Redmi Note 9
speaker04_f_n_utt29,kucingku seneng banget mangan lan ora gelem obah,Redmi Note 9
speaker04_f_n_utt30,aku bingung arep nulis apa maneh,Redmi Note 9
speaker05_f_nn_utt01,aku arep lunga menyang pasar esuk iki,Iphone 16 Pro
speaker05_f_nn_utt02,adhiku lagi sinau matematika ning kamar,Iphone 16 Pro
speaker05_f_nn_utt03,ibu masak sega goreng kanggo sarapan,Iphone 16 Pro
speaker05_f_nn_utt04,bapak wis mulih saka kantor jam lima sore,Iphone 16 Pro
speaker05_f_nn_utt05,kowe wis mangan apa durung?,Iphone 16 Pro
speaker05_f_nn_utt06,awakku krasa lara sirah jalaran kurang turu,Iphone 16 Pro
speaker05_f_nn_utt07,bocah-bocah padha dolanan bal ning alun-alun,Iphone 16 Pro
speaker05_f_nn_utt08,"sepedaku rusak, dadi kudu didandani dhisik",Iphone 16 Pro
speaker05_f_nn_utt09,mbak Sari tuku klambi anyar ning mall,Iphone 16 Pro
speaker05_f_nn_utt10,udan deres banget wingi bengi,Iphone 16 Pro
speaker05_f_nn_utt11,kowe arep menyang endi sesuk?,Iphone 16 Pro
speaker05_f_nn_utt12,sapa sing ngajari kowe masak?,Iphone 16 Pro
speaker05_f_nn_utt13,pira regane buku iku?,Iphone 16 Pro
speaker05_f_nn_utt14,kapan kowe lunga menyang Jogja?,Iphone 16 Pro
speaker05_f_nn_utt15,neng ngendi kowe ketemu karo dheweke?,Iphone 16 Pro
speaker05_f_nn_utt16,ayo padha mangan bareng!,Iphone 16 Pro
speaker05_f_nn_utt17,tulung jupukke tas neng meja,Iphone 16 Pro
speaker05_f_nn_utt18,ojo lali ngunci lawang yen metu,Iphone 16 Pro
speaker05_f_nn_utt19,"entenana sedhela, aku arep ganti klambi",Iphone 16 Pro
speaker05_f_nn_utt20,reresik kamarmu saiki!,Iphone 16 Pro
speaker05_f_nn_utt21,omahku cedhak karo sekolahan,Iphone 16 Pro
speaker05_f_nn_utt22,Aku arep menyang pasar tuku sayur wae.,Iphone 16 Pro
speaker05_f_nn_utt23,hawane adem banget ning gunung,Iphone 16 Pro
speaker05_f_nn_utt24,simbah lagi lenggahan ning teras ngarep,Iphone 16 Pro
speaker05_f_nn_utt25,tandurane mbokde wis gedhe-gedhe kabeh,Iphone 16 Pro
speaker05_f_nn_utt26,aku ora bisa teka amarga lagi akeh gaweyan,Iphone 16 Pro
speaker05_f_nn_utt27,"yen udan, aku ora lunga sekolah",Iphone 16 Pro
speaker05_f_nn_utt28,dheweke seneng banget maca buku nalika luang,Iphone 16 Pro
speaker05_f_nn_utt29,mas Budi sing ngomong mengkono mau salah,Iphone 16 Pro
speaker05_f_nn_utt30,"sawise mangan, aku langsung turu amarga kesel",Iphone 16 Pro
speaker06_m_nn_utt01,sugeng rawuh wonten griya kula,Redmi 10
speaker06_m_nn_utt02,sami sami lan matur nuwun,Redmi 10
speaker06_m_nn_utt03,kula nyuwun pamit badhe wangsul,Redmi 10
speaker06_m_nn_utt04,kula mboten saged kaleh njenengan,Redmi 10
speaker06_m_nn_utt05,nyuwun ngapunten nggih kula ajeng dahar,Redmi 10
speaker06_m_nn_utt06,griya njenengan kathah nggih,Redmi 10
speaker06_m_nn_utt07,njo ngopi neng warung anyar kae,Redmi 10
speaker06_m_nn_utt08,sore iki udane gedi tenan,Redmi 10
speaker06_m_nn_utt09,omahku isih adoh,Redmi 10
speaker06_m_nn_utt10,adhi kulo gek sinau,Redmi 10
speaker06_m_nn_utt11,klambine apik tenan,Redmi 10
speaker06_m_nn_utt12,tuku neng endi,Redmi 10
speaker06_m_nn_utt13,kula arep ndelok bal-balan neng tv,Redmi 10
speaker06_m_nn_utt14,iki panganan sing apik,Redmi 10
speaker06_m_nn_utt15,kanca kancaku munggah gunung,Redmi 10
speaker06_m_nn_utt16,mangga dahar neng pawon nggih,Redmi 10
speaker06_m_nn_utt17,sak niki wangsul riyen nggih,Redmi 10
speaker06_m_nn_utt18,mangkeh teng meriki maleh,Redmi 10
speaker06_m_nn_utt19,kula ajeng dahar riyen,Redmi 10
speaker06_m_nn_utt20,ajeng teng pundi mbak,Redmi 10
speaker06_m_nn_utt21,sugeng riyadi nggih,Redmi 10
speaker06_m_nn_utt22,ajeng nopo nopo kok anyis nggih,Redmi 10
speaker06_m_nn_utt23,larang tenan ki rega ne,Redmi 10
speaker06_m_nn_utt24,sega ne sampun telas,Redmi 10
speaker06_m_nn_utt25,dinten niki udan maleh,Redmi 10
speaker06_m_nn_utt26,mboten enten panganan,Redmi 10
speaker06_m_nn_utt27,kulo dijak teng pundi pundi,Redmi 10
speaker06_m_nn_utt28,sanes guyonan niki,Redmi 10
speaker06_m_nn_utt29,kula tumbas setunggal nggih griya ne,Redmi 10
speaker06_m_nn_utt30,pripun griyo kulo gedi to,Redmi 10
speaker07_m_n_utt01,Aku mangkat kerja kemringet amerga dioyak asu ning dalan,Samsung A32
speaker07_m_n_utt02,Klambiku teles kebes banjur diperes supaya garing,Samsung A32
speaker07_m_n_utt03,Masia kulina ngomong jawa jebul nggawe ukara ya angel,Samsung A32
speaker07_m_n_utt04,Ukara telu wae uwis angel saya meneh telung puluh,Samsung A32
speaker07_m_n_utt05,Sepurane yen ukarane ala-ala,Samsung A32
speaker07_m_n_utt06,Endhasku uwis ngelu mikir enem ukara,Samsung A32
speaker07_m_n_utt07,Iki penake diisi apa ya sing rada bener,Samsung A32
speaker07_m_n_utt08,Bojo kula masak sega goreng enak banget,Samsung A32
speaker07_m_n_utt09,Bapak sare kula siram,Samsung A32
speaker07_m_n_utt10,Kanca-kanca kula keleleken kolang-kaling kalih kilo,Samsung A32
speaker07_m_n_utt11,Joko Widodo presidenku saklawase,Samsung A32
speaker07_m_n_utt12,Ndelalah uwis entuk rolas ukara,Samsung A32
speaker07_m_n_utt13,Bapake kancaku rabi meneh karo randa anak loro,Samsung A32
speaker07_m_n_utt14,Dina iki aku lara weteng amerga mangan pedes,Samsung A32
speaker07_m_n_utt15,"Lha aku ora ngerti, kok takon aku?",Samsung A32
speaker07_m_n_utt16,Saben dina rasane adem ing Bandung,Samsung A32
speaker07_m_n_utt17,Kathok anyar werna abang iki sing nduweni sapa ya?,Samsung A32
speaker07_m_n_utt18,Aku arep dolan menyang omahe adhimu,Samsung A32
speaker07_m_n_utt19,"Metu dalan gedhe banjur nganan, omahe ana ing kiwa",Samsung A32
speaker07_m_n_utt20,Pit onthele mbah kakungku uwis ora bisa ditumpaki,Samsung A32
speaker07_m_n_utt21,Bu Sri sampun dhahar sareng Pak Supri,Samsung A32
speaker07_m_n_utt22,Sinau basa inggris supaya bisa sekolah adoh,Samsung A32
speaker07_m_n_utt23,Oleh-oleh khas Jogja iku bakpia pathok,Samsung A32
speaker07_m_n_utt24,"Yen ngitung sakwise rongpuluh, sing bener iku selikur",Samsung A32
speaker07_m_n_utt25,Aku tuku pit motor anyar regane slawe yuta,Samsung A32
speaker07_m_n_utt26,Udan gedhe ndek mau marai omahe budheku kebanjiran,Samsung A32
speaker07_m_n_utt27,Aja ngguwak sampah ing kali ya lur,Samsung A32
speaker07_m_n_utt28,Preinan sesuk aku pengin dolan ning grojogan sewu,Samsung A32
speaker07_m_n_utt29,Ora kabeh abdi dalem ing kraton nganggo blangkon,Samsung A32
speaker07_m_n_utt30,Pisan-pisan kudu nyoba urip ing Solo,Samsung A32
speaker08_m_nn_utt01,kula nyuwun idin supados saged mlebet rumiyin,
speaker08_m_nn_utt02,panjenengan kados pundi kabare dina menika,
speaker08_m_nn_utt03,kula badhe miwiti makarya sak menika,
speaker08_m_nn_utt04,mugi dinten panjenengan kasil kalampahan kanthi lancar,
speaker08_m_nn_utt05,kula nyuwun tulung supados dipun terangaken malih,
speaker08_m_nn_utt06,panjenengan saged paring wangsulan sakmenika,
speaker08_m_nn_utt07,kula nuwun sewu menawi wonten lepat,
speaker08_m_nn_utt08,mugi panjenengan tansah pinaringan sehat lan wilujeng,
speaker08_m_nn_utt09,kula badhe tindak dhisik nyuwun pangapunten,
speaker08_m_nn_utt10,panjenengan saged ngentosi kula sedhela,
speaker08_m_nn_utt11,kula badhe nglajengaken sinau sasampunipun nedha,
speaker08_m_nn_utt12,mugi rapat enjang saged lumampah kanthi tertib,
speaker08_m_nn_utt13,panjenengan saged paring pitedah menapa ingkang kedah kula tindakake,
speaker08_m_nn_utt14,kula nyuwun supados kersa ndherek rembugan,
speaker08_m_nn_utt15,panjenengan sampun siyap kangge miwiti pakaryan,
speaker08_m_nn_utt16,kula nyuwun wektu sedhela kangge mriksa berkas,
speaker08_m_nn_utt17,panjenengan saged maringi conto supados kula langkung mangertos,
speaker08_m_nn_utt18,kula kersa sinau babagan menika langkung jero,
speaker08_m_nn_utt19,panjenengan saged paring kabar menawi sampun rampung,
speaker08_m_nn_utt20,kula badhe nindakaken punapa ingkang sampun dipun dhawuhake,
speaker08_m_nn_utt21,panjenengan saged paring tulada ing cara nindakaken,
speaker08_m_nn_utt22,kula nyuwun supados dipun pangandikani kanthi cetha,
speaker08_m_nn_utt23,panjenengan saged ngandharaken jadwal dinten menika,
speaker08_m_nn_utt24,kula nyuwun pangapunten menawi ngganggu wekdal panjenengan,
speaker08_m_nn_utt25,panjenengan saged maringi katrangan langkung rinci,
speaker08_m_nn_utt26,kula badhe nyuwun pirsa menapa ingkang dipun perluaken,
speaker08_m_nn_utt27,panjenengan saged mriksa asil karya kula,
speaker08_m_nn_utt28,kula kersa ndherek rawuh ing pepanggihan enjang,
speaker08_m_nn_utt29,panjenengan saged maringi pitulung menawi mboten merepotaken,
speaker08_m_nn_utt30,kula nyuwun supados dipun aturi mlebet papan punika,
speaker09_m_nn_utt01,sugeng enjing ibu bapak,Iphone 17 Pro Max
speaker09_m_nn_utt02,sugeng siyang kanca sedaya,Iphone 17 Pro Max
speaker09_m_nn_utt03,sugeng sonten pak guru,Iphone 17 Pro Max
speaker09_m_nn_utt04,sugeng dalu simbah kakung,Iphone 17 Pro Max
speaker09_m_nn_utt05,kadospundi kabaripun panjenengan,Iphone 17 Pro Max
speaker09_m_nn_utt06,alhamdulillah sae pangestunipun,Iphone 17 Pro Max
speaker09_m_nn_utt07,matur nuwun sanget kagem pambiyantunipun,Iphone 17 Pro Max
speaker09_m_nn_utt08,nyuwun pangapunten menawi wonten kalepatan,Iphone 17 Pro Max
speaker09_m_nn_utt09,mangga pinarak rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt10,panjenengan badhe tindak pundi,Iphone 17 Pro Max
speaker09_m_nn_utt11,kula badhe nyuwun pirsa,Iphone 17 Pro Max
speaker09_m_nn_utt12,menapa kula saged mbiyantu panjenengan,Iphone 17 Pro Max
speaker09_m_nn_utt13,panjenengan kersa ngunjuk menapa,Iphone 17 Pro Max
speaker09_m_nn_utt14,kula badhe dhahar sekul pecel setunggal,Iphone 17 Pro Max
speaker09_m_nn_utt15,menawi kepareng kula badhe wangsul rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt16,panjenengan sampun kersa dhahar enjing menapa dereng,Iphone 17 Pro Max
speaker09_m_nn_utt17,ibu saweg nyiapaken dhaharan kagem sarapan,Iphone 17 Pro Max
speaker09_m_nn_utt18,kula ajeng mundhut sekul goreng ing warung ngajeng,Iphone 17 Pro Max
speaker09_m_nn_utt19,kula badhe siram rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt20,kula bidhal dhateng kantor jam pitu enjing,Iphone 17 Pro Max
speaker09_m_nn_utt21,piyambakipun nembe nindakaken sholat,Iphone 17 Pro Max
speaker09_m_nn_utt22,kula sampun dhahar kalawau enjing,Iphone 17 Pro Max
speaker09_m_nn_utt23,mangke sonten kula badhe sinau,Iphone 17 Pro Max
speaker09_m_nn_utt24,kula badhe mundhut gendhis kalih tigan ing warung,Iphone 17 Pro Max
speaker09_m_nn_utt25,adhik kula nembe nggarap tugas sekolah,Iphone 17 Pro Max
speaker09_m_nn_utt26,nyuwun tulung dipunpundhutaken buku kula,Iphone 17 Pro Max
speaker09_m_nn_utt27,mugi-mugi perjalanan panjenengan pinaringan slamet,Iphone 17 Pro Max
speaker09_m_nn_utt28,kula ndherek pirsa dalemipun pak lurah,Iphone 17 Pro Max
speaker09_m_nn_utt29,sakmenika sampun jam sedasa kirang seprapat,Iphone 17 Pro Max
speaker09_m_nn_utt30,mangga dipun unjuk kopinipun,Iphone 17 Pro Max
speaker10_m_nn_utt01,"Aku wis adus, saiki seger maneh",Samsung A56
speaker10_m_nn_utt02,Kula badhe nyuwun pirsa menawi panjenengan saged ndherek kula,Samsung A56
speaker10_m_nn_utt03,Adhiku nggambar kembang mawar ing buku,Samsung A56
speaker10_m_nn_utt04,Bapak lagi lenggahan wonten pendhapa kaliyan tamu,Samsung A56
speaker10_m_nn_utt05,Ibu tumbas jarik anyar wonten peken Klewer,Samsung A56
speaker10_m_nn_utt06,Kowe wis maca buku kuwi nganti rampung durung?,Samsung A56
speaker10_m_nn_utt07,"Wektu preinan wingi, aku lunga menyang Candi Borobudur",Samsung A56
speaker10_m_nn_utt08,Nyuwun tulung jupukaken wedang ing pawon,Samsung A56
speaker10_m_nn_utt09,Dina Rebo arep ana rapat warga ing balai desa,Samsung A56
speaker10_m_nn_utt10,Simbah saweg ngrantos putunipun dhateng,Samsung A56
speaker10_m_nn_utt11,Kula remen sanget kaliyan masakanipun ibu,Samsung A56
speaker10_m_nn_utt12,Lawang omah kabeh kudu dikunci yen arep lunga,Samsung A56
speaker10_m_nn_utt13,Muga-muga tugas sekolahku entuk biji sing apik,Samsung A56
speaker10_m_nn_utt14,Panjenengan badhe dhahar sekul pecel menapa gudheg?,Samsung A56
speaker10_m_nn_utt15,"Ayo, gek ndang sinau, sesuk wis ujian",Samsung A56
speaker10_m_nn_utt16,Kula badhe tindak dhateng Surabaya nitih sepur enjing,Samsung A56
speaker10_m_nn_utt17,Sapa sing wis ngresiki latar ngarep omah?,Samsung A56
speaker10_m_nn_utt18,"Mangga dipununjuk wedangipun, sampun kula cawisaken",Samsung A56
speaker10_m_nn_utt19,Kucing ireng kuwi mlaku-mlaku ing ndhuwur pager,Samsung A56
speaker10_m_nn_utt20,Sepedha motor iki nduweke sapa?,Samsung A56
speaker10_m_nn_utt21,Kula saweg ngrakit meja kayu ingkang enggal,Samsung A56
speaker10_m_nn_utt22,"Nuwun sewu, kulo mboten saged ndherekaken",Samsung A56
speaker10_m_nn_utt23,Srengenge katon abang nalika arep surup,Samsung A56
speaker10_m_nn_utt24,Adhiku seneng banget didongengi crita kewan,Samsung A56
speaker10_m_nn_utt25,Dina iki aku kudu tuku klambi seragam anyar,Samsung A56
speaker10_m_nn_utt26,Regane beras sak kilo punika pinten nggih?,Samsung A56
speaker10_m_nn_utt27,"Aja lali sesuk tangi gasik, ana kerja bakti",Samsung A56
speaker10_m_nn_utt28,Kula badhe ngginakaken wekdal kangge maos buku,Samsung A56
speaker10_m_nn_utt29,Bapak saweg nyerat layang kagem pakdhe,Samsung A56
speaker10_m_nn_utt30,Hawane adem banget amarga wingi udan deres,Samsung A56
speaker11_m_nn_utt01,Pemkot Surabaya gas pol nggarap rampunge proyek-proyek drainase nang pirang-pirang titik sing biasane dadi langganan banjir.,Thronmax Mdrill Zero
speaker11_m_nn_utt02,"Wali Kota Surabaya, Eri Cahyadi ngomong nek percepatan proyek drainase iki dadi prioritas, ben kabeh garapan iso rampung sakdurunge puncak musim udan sing diprediksi teko Januari sampek Februari",Thronmax Mdrill Zero
speaker11_m_nn_utt03,Mobil PMK iki dikerahno gawe bantu mempercepat aliran banyu pas udan deres,Thronmax Mdrill Zero
speaker11_m_nn_utt04,Sakjane ono sekitar 28 unit mobil PMK sing disiagakno pemkot nang macem-macem titik saben udan teko.,Thronmax Mdrill Zero
speaker11_m_nn_utt05,"Eri nerusno, percepatan proyek drainase iki dudu tanpa alasan",Thronmax Mdrill Zero
speaker11_m_nn_utt06,"Contone nang daerah Pakal, sing wis puluhan taun dadi langganan banjir. Saiki, mergo sistem drainase anyar, daerah kono wis gak klelep maneh.",Thronmax Mdrill Zero
speaker11_m_nn_utt07,"Gawe taun ngarep, Pemkot Surabaya bakal fokus nang proyek drainase nang kawasan Sukomanunggal",Thronmax Mdrill Zero
speaker11_m_nn_utt08,Eri ngarep warga gelem kerja bareng & ndhukung pembangunan saluran anyar ben iso bebas teko banjir.,Thronmax Mdrill Zero
speaker11_m_nn_utt09,"Eri yakin pengerjaan proyek drainase sing saiki dikebut bakal iso ngrampungno masalah banjir nang titik-titik lawas, salah sijine nang Kecamatan Benowo.",Thronmax Mdrill Zero
speaker11_m_nn_utt10,"Erick Thohir nyampe'no nyuwun ngapuro nang kabeh elemen masyarakat Indonesia, soale Timnas Indonesia durung iso lolos nang Piala Dunia 2026 soale kalah tipis 0-1 karo Irak.",Thronmax Mdrill Zero
speaker11_m_nn_utt11,"Cak Erick, seng yo njabat dadi Menteri Pemuda & Olahraga kuwi, terus matur nuwun nang kabeh suporter, pemain, ofisial, seng wis berjuang ngangkat Indonesia sampek tekan puteran peng papat kualifikasi Piala Dunia 2026.",Thronmax Mdrill Zero
speaker11_m_nn_utt12,"Miturut’e, iki pisanan’e Skuad Garuda iso mlebu adoh nang ajang segede kuwi. ",Thronmax Mdrill Zero
speaker11_m_nn_utt13,"Kamenangan Irak iki ndadekno peluang gede kanggo lolos nang puteran final Piala Dunia 2026, soale saiki nang posisi nomer loro klasemen sementara Grup B, entuk telung poin teko siji pertandhingan.",Thronmax Mdrill Zero
speaker11_m_nn_utt14,"Nang sisih liyane, gawe Timnas Indonesia, loro kekalahan berturut-turut nang puteran penge papat iki nggawe angan-angan mlebu Piala Dunia dipastikan ilang",Thronmax Mdrill Zero
speaker11_m_nn_utt15,"Nang sisih liyo, rasa bangga iku saiki kebacut dadi kecewa.",Thronmax Mdrill Zero
speaker11_m_nn_utt16,Pernyataan sing podo pisan teko pelatih & ofisial tim,Thronmax Mdrill Zero
speaker11_m_nn_utt17,Kecewane para atlet tambah gedhe soale daerah liyo nang Jatim wis luwih dhisik nepatno janji bonus gawe atlet berprestasi.,Thronmax Mdrill Zero
speaker11_m_nn_utt18,"Saiki, harapan gedhe nyantol nang Wali Kota Eri Cahyadi ben cepet nepatno janjine..",Thronmax Mdrill Zero
speaker11_m_nn_utt19,"Karo sorotan masyarakat sing tambah gedhe, saiki bolane nang tangan Pemkot Suroboyo.",Thronmax Mdrill Zero
speaker11_m_nn_utt20,"Realisasi bonus Porprov dudu mek soal angka, tapi pisan soal njogo semangat, kepercayaan, & masa depan pembinaan olahraga nang Kota Pahlawan.",Thronmax Mdrill Zero
speaker11_m_nn_utt21,"Pak Eri negasno, omah kos nang pemukiman kudu onok pengawase, yoiku ibu utowo bapak kos sing melu manggon nang kono. ",Thronmax Mdrill Zero
speaker11_m_nn_utt22,"Dewe yo njaluk, nek onok wong bangun omah kos nang pemukiman, kudu entuk izin teko minimal sepertelu wargo sak kiwo tengene.",Thronmax Mdrill Zero
speaker11_m_nn_utt23,"Tapi, syarat iki ora berlaku nek omah kos e iku nang pinggir dalan raya utama.",Thronmax Mdrill Zero
speaker11_m_nn_utt24,Pak Eri ngelingno maneh ben kos-kosan nang pemukiman ora campur cowok karo cewek.,Thronmax Mdrill Zero
