filename,Transcript
Speaker66_m_nn_utt3.wav,sinten ingkang mundhut t h meniko
Speaker66_m_nn_utt30.wav,sepedhah meniko warninipun abrit
Speaker66_m_nn_utt4.wav,kulo badhe tanglet babakan tugas
Speaker66_m_nn_utt5.wav,sampun cekap semanten atur kulo
Speaker66_m_nn_utt6.wav,kulo kedah sinau tigang wulan
Speaker66_m_nn_utt7.wav,njing meniko kulo badhe nyapu
Speaker66_m_nn_utt8.wav,panjenengan kagungan dhuwit gangsal wu
Speaker66_m_nn_utt9.wav,maturnuwun sanget nggih sedoyo
speaker01_m_nn_utt01.wav,kowe dina iki lunga kampus apa orak
speaker01_m_nn_utt02.wav,aku seneng nganggo klambi werna putih
speaker01_m_nn_utt03.wav,aku arep ngisi botol ngombe dhisik
speaker01_m_nn_utt04.wav,aku ngantuk banget kayake aku arep turu dhisik
speaker01_m_nn_utt05.wav,saben kali aku lunga omahmu kowe orak ana
speaker01_m_nn_utt06.wav,kowe gelem dolan ing omahku sesuk esuk
speaker01_m_nn_utt07.wav,saben dina minggu aku mesti resik resik kamar
speaker01_m_nn_utt08.wav,kowe gelem melu aku lunga pasar orak
speaker01_m_nn_utt09.wav,sadurunge lunga aku arep masak sega dhisik
speaker01_m_nn_utt10.wav,aku seneng banget ajar aksara jawa
speaker01_m_nn_utt11.wav,moga moga aku entuk nilai apik ing tugas iki
speaker01_m_nn_utt12.wav,aku duwe kucing siji wernane abu abu ing omah
speaker01_m_nn_utt13.wav,ngrungoke lagu karo nggambar kuwi enak banget
speaker01_m_nn_utt14.wav,keretane kok suwi banget ya
speaker01_m_nn_utt15.wav,aku seneng dolanan karo kanca kancaku
speaker01_m_nn_utt16.wav,wingi wengi aku turu ana wolung jam
speaker01_m_nn_utt17.wav,paling sesuk aku lunga kantor jam sanga
speaker01_m_nn_utt18.wav,dinten punika kula badhe tindak kampus
speaker01_m_nn_utt19.wav,aku wis ngenteni kanggo tuku panganan iki ana sak jam
speaker01_m_nn_utt20.wav,ayo sesuk lunga bareng delok film anyar iki
speaker01_m_nn_utt21.wav,wengi iki kok hawane adem tenan ya
speaker01_m_nn_utt22.wav,aku lali wingi udan apa orak
speaker01_m_nn_utt23.wav,aku wis lungguh ing kursi iki ana telung jam
speaker01_m_nn_utt24.wav,ngombe jus pas panas panas ngene seger tenan
speaker01_m_nn_utt25.wav,aja lali tuku oleh oleh kanggo aku ya
speaker01_m_nn_utt26.wav,angel tenan soal ujian iki
speaker01_m_nn_utt27.wav,sampun wonten selawe dinten wiwiting kula sumerep sampeyan
speaker01_m_nn_utt28.wav,yen tangi esuk aku mesti ae ngantuk ing kelas
speaker01_m_nn_utt29.wav,kucingku seneng banget mangan lan ora gelem obah
speaker01_m_nn_utt30.wav,aku bingung arep nulis apa maneh
speaker02_m_nn_utt01.wav,aku arep lunga menyang pasar esuk iki
speaker02_m_nn_utt02.wav,adhiku lagi sinau matematika ning kamar
speaker02_m_nn_utt03.wav,ibu masak sega goreng kanggo sarapan
speaker02_m_nn_utt04.wav,bapak wis mulih saka kantor jam lima sore
speaker02_m_nn_utt05.wav,kowe wis mangan apa durung
speaker02_m_nn_utt06.wav,awakku krasa lara sirah jalaran kurang turu
speaker02_m_nn_utt07.wav,bocah bocah padha dolanan bal ning alun alun
speaker02_m_nn_utt08.wav,sepedaku rusak dadi kudu didandani dhisik
speaker02_m_nn_utt09.wav,mbak sari tuku klambi anyar ning mall
speaker02_m_nn_utt10.wav,udan deres banget wingi bengi
speaker02_m_nn_utt11.wav,kowe arep menyang endi sesuk
speaker02_m_nn_utt12.wav,sapa sing ngajari kowe masak
speaker02_m_nn_utt13.wav,pira regane buku iku
speaker02_m_nn_utt14.wav,kapan kowe lunga menyang jogja
speaker02_m_nn_utt15.wav,neng ngendi kowe ketemu karo dheweke
speaker02_m_nn_utt16.wav,ayo padha mangan bareng
speaker02_m_nn_utt17.wav,tulung jupukke tas neng meja
speaker02_m_nn_utt18.wav,ojo lali ngunci lawang yen metu
speaker02_m_nn_utt19.wav,entenana sedhela aku arep ganti klambi
speaker02_m_nn_utt20.wav,reresik kamarmu saiki
speaker02_m_nn_utt21.wav,omahku cedhak karo sekolahan
speaker02_m_nn_utt22.wav,aku arep menyang pasar tuku sayur wae
speaker02_m_nn_utt23.wav,hawane adem banget ning gunung
speaker02_m_nn_utt24.wav,simbah lagi lenggahan ning teras ngarep
speaker02_m_nn_utt25.wav,tandurane mbokde wis gedhe gedhe kabeh
speaker02_m_nn_utt26.wav,aku ora bisa teka amarga lagi akeh gaweyan
speaker02_m_nn_utt27.wav,yen udan aku ora lunga sekolah
speaker02_m_nn_utt28.wav,dheweke seneng banget maca buku nalika luang
speaker02_m_nn_utt29.wav,mas budi sing ngomong mengkono mau salah
speaker02_m_nn_utt30.wav,sawise mangan aku langsung turu amarga kesel
speaker03_m_nn_utt01.wav,sugeng rawuh wonten griya kula
speaker03_m_nn_utt02.wav,sami sami lan matur nuwun
speaker03_m_nn_utt03.wav,kula nyuwun pamit badhe wangsul
speaker03_m_nn_utt04.wav,kula mboten saged kaleh njenengan
speaker03_m_nn_utt05.wav,nyuwun ngapunten nggih kula ajeng dahar
speaker03_m_nn_utt06.wav,griya njenengan kathah nggih
speaker03_m_nn_utt07.wav,njo ngopi neng warung anyar kae
speaker03_m_nn_utt08.wav,sore iki udane gedi tenan
speaker03_m_nn_utt09.wav,omahku isih adoh
speaker03_m_nn_utt10.wav,adhi kulo gek sinau
speaker03_m_nn_utt11.wav,klambine apik tenan
speaker03_m_nn_utt12.wav,tuku neng endi
speaker03_m_nn_utt13.wav,kula arep ndelok bal balan neng tv
speaker03_m_nn_utt14.wav,iki panganan sing apik
speaker03_m_nn_utt15.wav,kanca kancaku munggah gunung
speaker03_m_nn_utt16.wav,mangga dahar neng pawon nggih
speaker03_m_nn_utt17.wav,sak niki wangsul riyen nggih
speaker03_m_nn_utt18.wav,mangkeh teng meriki maleh
speaker03_m_nn_utt19.wav,kula ajeng dahar riyen
speaker03_m_nn_utt20.wav,ajeng teng pundi mbak
speaker03_m_nn_utt21.wav,sugeng riyadi nggih
speaker03_m_nn_utt22.wav,ajeng nopo nopo kok anyis nggih
speaker03_m_nn_utt23.wav,larang tenan ki rega ne
speaker03_m_nn_utt24.wav,sega ne sampun telas
speaker03_m_nn_utt25.wav,dinten niki udan maleh
speaker03_m_nn_utt26.wav,mboten enten panganan
speaker03_m_nn_utt27.wav,kulo dijak teng pundi pundi
speaker03_m_nn_utt28.wav,sanes guyonan niki
speaker03_m_nn_utt29.wav,kula tumbas setunggal nggih griya ne
speaker03_m_nn_utt30.wav,pripun griyo kulo gedi to
speaker04_f_n_utt01.wav,aku mangkat kerja kemringet amerga dioyak asu ning dalan
speaker04_f_n_utt02.wav,klambiku teles kebes banjur diperes supaya garing
speaker04_f_n_utt03.wav,masia kulina ngomong jawa jebul nggawe ukara ya angel
speaker04_f_n_utt04.wav,ukara telu wae uwis angel saya meneh telung puluh
speaker04_f_n_utt05.wav,sepurane yen ukarane ala ala
speaker04_f_n_utt06.wav,endhasku uwis ngelu mikir enem ukara
speaker04_f_n_utt07.wav,iki penake diisi apa ya sing rada bener
speaker04_f_n_utt08.wav,bojo kula masak sega goreng enak banget
speaker04_f_n_utt09.wav,bapak sare kula siram
speaker04_f_n_utt10.wav,kanca kanca kula keleleken kolang kaling kalih kilo
speaker04_f_n_utt11.wav,joko widodo presidenku saklawase
speaker04_f_n_utt12.wav,ndelalah uwis entuk rolas ukara
speaker04_f_n_utt13.wav,bapake kancaku rabi meneh karo randa anak loro
speaker04_f_n_utt14.wav,dina iki aku lara weteng amerga mangan pedes
speaker04_f_n_utt15.wav,lha aku ora ngerti kok takon aku
speaker04_f_n_utt16.wav,saben dina rasane adem ing bandung
speaker04_f_n_utt17.wav,kathok anyar werna abang iki sing nduweni sapa ya
speaker04_f_n_utt18.wav,aku arep dolan menyang omahe adhimu
speaker04_f_n_utt19.wav,metu dalan gedhe banjur nganan omahe ana ing kiwa
speaker04_f_n_utt20.wav,pit onthele mbah kakungku uwis ora bisa ditumpaki
speaker04_f_n_utt21.wav,bu sri sampun dhahar sareng pak supri
speaker04_f_n_utt22.wav,sinau basa inggris supaya bisa sekolah adoh
speaker04_f_n_utt23.wav,oleh oleh khas jogja iku bakpia pathok
speaker04_f_n_utt24.wav,yen ngitung sakwise rongpuluh sing bener iku selikur
speaker04_f_n_utt25.wav,aku tuku pit motor anyar regane slawe yuta
speaker04_f_n_utt26.wav,udan gedhe ndek mau marai omahe budheku kebanjiran
speaker04_f_n_utt27.wav,aja ngguwak sampah ing kali ya lur
speaker04_f_n_utt28.wav,preinan sesuk aku pengin dolan ning grojogan sewu
speaker04_f_n_utt29.wav,ora kabeh abdi dalem ing kraton nganggo blangkon
speaker04_f_n_utt30.wav,pisan pisan kudu nyoba urip ing solo
speaker05_f_nn_utt01.wav,kula nyuwun idin supados saged mlebet rumiyin
speaker05_f_nn_utt02.wav,panjenengan kados pundi kabare dina menika
speaker05_f_nn_utt03.wav,kula badhe miwiti makarya sak menika
speaker05_f_nn_utt04.wav,mugi dinten panjenengan kasil kalampahan kanthi lancar
speaker05_f_nn_utt05.wav,kula nyuwun tulung supados dipun terangaken malih
speaker05_f_nn_utt06.wav,panjenengan saged paring wangsulan sakmenika
speaker05_f_nn_utt07.wav,kula nuwun sewu menawi wonten lepat
speaker05_f_nn_utt08.wav,mugi panjenengan tansah pinaringan sehat lan wilujeng
speaker05_f_nn_utt09.wav,kula badhe tindak dhisik nyuwun pangapunten
speaker05_f_nn_utt10.wav,panjenengan saged ngentosi kula sedhela
speaker05_f_nn_utt11.wav,kula badhe nglajengaken sinau sasampunipun nedha
speaker05_f_nn_utt12.wav,mugi rapat enjang saged lumampah kanthi tertib
speaker05_f_nn_utt13.wav,panjenengan saged paring pitedah menapa ingkang kedah kula tindakake
speaker05_f_nn_utt14.wav,kula nyuwun supados kersa ndherek rembugan
speaker05_f_nn_utt15.wav,panjenengan sampun siyap kangge miwiti pakaryan
speaker05_f_nn_utt16.wav,kula nyuwun wektu sedhela kangge mriksa berkas
speaker05_f_nn_utt17.wav,panjenengan saged maringi conto supados kula langkung mangertos
speaker05_f_nn_utt18.wav,kula kersa sinau babagan menika langkung jero
speaker05_f_nn_utt19.wav,panjenengan saged paring kabar menawi sampun rampung
speaker05_f_nn_utt20.wav,kula badhe nindakaken punapa ingkang sampun dipun dhawuhake
speaker05_f_nn_utt21.wav,panjenengan saged paring tulada ing cara nindakaken
speaker05_f_nn_utt22.wav,kula nyuwun supados dipun pangandikani kanthi cetha
speaker05_f_nn_utt23.wav,panjenengan saged ngandharaken jadwal dinten menika
speaker05_f_nn_utt24.wav,kula nyuwun pangapunten menawi ngganggu wekdal panjenengan
speaker05_f_nn_utt25.wav,panjenengan saged maringi katrangan langkung rinci
speaker05_f_nn_utt26.wav,kula badhe nyuwun pirsa menapa ingkang dipun perluaken
speaker05_f_nn_utt27.wav,panjenengan saged mriksa asil karya kula
speaker05_f_nn_utt28.wav,kula kersa ndherek rawuh ing pepanggihan enjang
speaker05_f_nn_utt29.wav,panjenengan saged maringi pitulung menawi mboten merepotaken
speaker05_f_nn_utt30.wav,kula nyuwun supados dipun aturi mlebet papan punika
speaker06_m_nn_utt01.wav,sugeng enjing ibu bapak
speaker06_m_nn_utt02.wav,sugeng siyang kanca sedaya
speaker06_m_nn_utt03.wav,sugeng sonten pak guru
speaker06_m_nn_utt04.wav,sugeng dalu simbah kakung
speaker06_m_nn_utt05.wav,kadospundi kabaripun panjenengan
speaker06_m_nn_utt06.wav,alhamdulillah sae pangestunipun
speaker06_m_nn_utt07.wav,matur nuwun sanget kagem pambiyantunipun
speaker06_m_nn_utt08.wav,nyuwun pangapunten menawi wonten kalepatan
speaker06_m_nn_utt09.wav,mangga pinarak rumiyin
speaker06_m_nn_utt10.wav,panjenengan badhe tindak pundi
speaker06_m_nn_utt11.wav,kula badhe nyuwun pirsa
speaker06_m_nn_utt12.wav,menapa kula saged mbiyantu panjenengan
speaker06_m_nn_utt13.wav,panjenengan kersa ngunjuk menapa
speaker06_m_nn_utt14.wav,kula badhe dhahar sekul pecel setunggal
speaker06_m_nn_utt15.wav,menawi kepareng kula badhe wangsul rumiyin
speaker06_m_nn_utt16.wav,panjenengan sampun kersa dhahar enjing menapa dereng
speaker06_m_nn_utt17.wav,ibu saweg nyiapaken dhaharan kagem sarapan
speaker06_m_nn_utt18.wav,kula ajeng mundhut sekul goreng ing warung ngajeng
speaker06_m_nn_utt19.wav,kula badhe siram rumiyin
speaker06_m_nn_utt20.wav,kula bidhal dhateng kantor jam pitu enjing
speaker06_m_nn_utt21.wav,piyambakipun nembe nindakaken sholat
speaker06_m_nn_utt22.wav,kula sampun dhahar kalawau enjing
speaker06_m_nn_utt23.wav,mangke sonten kula badhe sinau
speaker06_m_nn_utt24.wav,kula badhe mundhut gendhis kalih tigan ing warung
speaker06_m_nn_utt25.wav,adhik kula nembe nggarap tugas sekolah
speaker06_m_nn_utt26.wav,nyuwun tulung dipunpundhutaken buku kula
speaker06_m_nn_utt27.wav,mugi mugi perjalanan panjenengan pinaringan slamet
speaker06_m_nn_utt28.wav,kula ndherek pirsa dalemipun pak lurah
speaker06_m_nn_utt29.wav,sakmenika sampun jam sedasa kirang seprapat
speaker06_m_nn_utt30.wav,mangga dipun unjuk kopinipun
speaker07_m_n_utt01.wav,aku wis adus saiki seger maneh
speaker07_m_n_utt02.wav,kula badhe nyuwun pirsa menawi panjenengan saged ndherek kula
speaker07_m_n_utt03.wav,adhiku nggambar kembang mawar ing buku
speaker07_m_n_utt04.wav,bapak lagi lenggahan wonten pendhapa kaliyan tamu
speaker07_m_n_utt05.wav,ibu tumbas jarik anyar wonten peken klewer
speaker07_m_n_utt06.wav,kowe wis maca buku kuwi nganti rampung durung
speaker07_m_n_utt07.wav,wektu preinan wingi aku lunga menyang candi borobudur
speaker07_m_n_utt08.wav,nyuwun tulung jupukaken wedang ing pawon
speaker07_m_n_utt09.wav,dina rebo arep ana rapat warga ing balai desa
speaker07_m_n_utt10.wav,simbah saweg ngrantos putunipun dhateng
speaker07_m_n_utt11.wav,kula remen sanget kaliyan masakanipun ibu
speaker07_m_n_utt12.wav,lawang omah kabeh kudu dikunci yen arep lunga
speaker07_m_n_utt13.wav,muga muga tugas sekolahku entuk biji sing apik
speaker07_m_n_utt14.wav,panjenengan badhe dhahar sekul pecel menapa gudheg
speaker07_m_n_utt15.wav,ayo gek ndang sinau sesuk wis ujian
speaker07_m_n_utt16.wav,kula badhe tindak dhateng surabaya nitih sepur enjing
speaker07_m_n_utt17.wav,sapa sing wis ngresiki latar ngarep omah
speaker07_m_n_utt18.wav,mangga dipununjuk wedangipun sampun kula cawisaken
speaker07_m_n_utt19.wav,kucing ireng kuwi mlaku mlaku ing ndhuwur pager
speaker07_m_n_utt20.wav,sepedha motor iki nduweke sapa
speaker07_m_n_utt21.wav,kula saweg ngrakit meja kayu ingkang enggal
speaker07_m_n_utt22.wav,nuwun sewu kulo mboten saged ndherekaken
speaker07_m_n_utt23.wav,srengenge katon abang nalika arep surup
speaker07_m_n_utt24.wav,adhiku seneng banget didongengi crita kewan
speaker07_m_n_utt25.wav,dina iki aku kudu tuku klambi seragam anyar
speaker07_m_n_utt26.wav,regane beras sak kilo punika pinten nggih
speaker07_m_n_utt27.wav,aja lali sesuk tangi gasik ana kerja bakti
speaker07_m_n_utt28.wav,kula badhe ngginakaken wekdal kangge maos buku
speaker07_m_n_utt29.wav,bapak saweg nyerat layang kagem pakdhe
speaker07_m_n_utt30.wav,hawane adem banget amarga wingi udan deres
speaker08_m_nn_utt01.wav,pemkot surabaya gas pol nggarap rampunge proyek proyek drainase nang pirang pirang titik sing biasane dadi langganan banjir
speaker08_m_nn_utt02.wav,wali kota surabaya eri cahyadi ngomong nek percepatan proyek drainase iki dadi prioritas ben kabeh garapan iso rampung sakdurunge puncak musim udan sing diprediksi teko januari sampek februari
speaker08_m_nn_utt03.wav,mobil pmk iki dikerahno gawe bantu mempercepat aliran banyu pas udan deres
speaker08_m_nn_utt04.wav,sakjane ono sekitar unit mobil pmk sing disiagakno pemkot nang macem macem titik saben udan teko
speaker08_m_nn_utt05.wav,eri nerusno percepatan proyek drainase iki dudu tanpa alasan
speaker08_m_nn_utt06.wav,contone nang daerah pakal sing wis puluhan taun dadi langganan banjir saiki mergo sistem drainase anyar daerah kono wis gak klelep maneh
speaker08_m_nn_utt07.wav,gawe taun ngarep pemkot surabaya bakal fokus nang proyek drainase nang kawasan sukomanunggal
speaker08_m_nn_utt08.wav,eri ngarep warga gelem kerja bareng ndhukung pembangunan saluran anyar ben iso bebas teko banjir
speaker08_m_nn_utt09.wav,eri yakin pengerjaan proyek drainase sing saiki dikebut bakal iso ngrampungno masalah banjir nang titik titik lawas salah sijine nang kecamatan benowo
speaker08_m_nn_utt10.wav,erick thohir nyampe'no nyuwun ngapuro nang kabeh elemen masyarakat indonesia soale timnas indonesia durung iso lolos nang piala dunia soale kalah tipis karo irak
speaker08_m_nn_utt11.wav,cak erick seng yo njabat dadi menteri pemuda olahraga kuwi terus matur nuwun nang kabeh suporter pemain ofisial seng wis berjuang ngangkat indonesia sampek tekan puteran peng papat kualifikasi piala dunia
speaker08_m_nn_utt12.wav,miturut e iki pisanan e skuad garuda iso mlebu adoh nang ajang segede kuwi
speaker08_m_nn_utt13.wav,kamenangan irak iki ndadekno peluang gede kanggo lolos nang puteran final piala dunia soale saiki nang posisi nomer loro klasemen sementara grup b entuk telung poin teko siji pertandhingan
speaker08_m_nn_utt14.wav,nang sisih liyane gawe timnas indonesia loro kekalahan berturut turut nang puteran penge papat iki nggawe angan angan mlebu piala dunia dipastikan ilang
speaker08_m_nn_utt15.wav,nang sisih liyo rasa bangga iku saiki kebacut dadi kecewa
speaker08_m_nn_utt16.wav,pernyataan sing podo pisan teko pelatih ofisial tim
speaker08_m_nn_utt17.wav,kecewane para atlet tambah gedhe soale daerah liyo nang jatim wis luwih dhisik nepatno janji bonus gawe atlet berprestasi
speaker08_m_nn_utt18.wav,saiki harapan gedhe nyantol nang wali kota eri cahyadi ben cepet nepatno janjine
speaker08_m_nn_utt19.wav,karo sorotan masyarakat sing tambah gedhe saiki bolane nang tangan pemkot suroboyo
speaker08_m_nn_utt20.wav,realisasi bonus porprov dudu mek soal angka tapi pisan soal njogo semangat kepercayaan masa depan pembinaan olahraga nang kota pahlawan
speaker08_m_nn_utt21.wav,pak eri negasno omah kos nang pemukiman kudu onok pengawase yoiku ibu utowo bapak kos sing melu manggon nang kono
speaker08_m_nn_utt22.wav,dewe yo njaluk nek onok wong bangun omah kos nang pemukiman kudu entuk izin teko minimal sepertelu wargo sak kiwo tengene
speaker08_m_nn_utt23.wav,tapi syarat iki ora berlaku nek omah kos e iku nang pinggir dalan raya utama
speaker08_m_nn_utt24.wav,pak eri ngelingno maneh ben kos kosan nang pemukiman ora campur cowok karo cewek
speaker08_m_nn_utt25.wav,liyane gawe njaga keamanan kampung pengawasan kos kosan iki yo iso nggampangno pemkot gawe nyalurake program ben tepak sasaran
speaker08_m_nn_utt26.wav,mari ngono pak eri nutup omongane karo pesen ben nilai nilai pancasila dikuatno liwat program kampung pancasila
speaker08_m_nn_utt27.wav,jatmiko nata pratama karo konco koncone total limang wong nggawe rencana penipuan lewat aplikasi kenalan
speaker08_m_nn_utt28.wav,pas sampek daerah menganti ezzy njaluk mandeg nang toko
speaker08_m_nn_utt29.wav,gak suwi koncone liyane dinar risnaya hadi melok melok pisan
speaker08_m_nn_utt30.wav,kowe arep melu ora
speaker09_m_nn_utt01.wav,sugeng enjing kowe wis sarapan durung
speaker09_m_nn_utt02.wav,aku arep tuku roti ning warung
speaker09_m_nn_utt03.wav,tulung jupukke tas neng meja iku
speaker09_m_nn_utt04.wav,ayo padha mangan siang bareng kene
speaker09_m_nn_utt05.wav,kowe arep menyang ngendi sore iki
speaker09_m_nn_utt06.wav,aku lagi nyuci klambi ning mburi
speaker09_m_nn_utt07.wav,adhiku dolanan bal ning alun alun
speaker09_m_nn_utt08.wav,ibu lagi masak soto ayam ning pawon
speaker09_m_nn_utt09.wav,bapak lagi nonton televisi ning ruang tamu
speaker09_m_nn_utt10.wav,aku kepengin ngombe es teh manis
speaker09_m_nn_utt11.wav,hawane panas banget dina iki tenan
speaker09_m_nn_utt12.wav,kowe wis nggarap tugas sekolah durung
speaker09_m_nn_utt13.wav,aku arep turu siang sawetara wae
speaker09_m_nn_utt14.wav,tulung mateni lampu yen wis rampung
speaker09_m_nn_utt15.wav,aja lali ngunci lawang ngarep ya
speaker09_m_nn_utt16.wav,sepedaku rusak kudu didandani ning bengkel
speaker09_m_nn_utt17.wav,aku kepengin mangan bakso panas banget
speaker09_m_nn_utt18.wav,kowe iso nulungi aku ora iki
speaker09_m_nn_utt19.wav,ayo dolan menyang omahne kanca sesuk
speaker09_m_nn_utt20.wav,aku arep gereja minggu esuk jam wolu
speaker09_m_nn_utt21.wav,simbah lagi lenggahan ning teras ngarep
speaker09_m_nn_utt22.wav,kowe neng ngendi mau bengi iku
speaker09_m_nn_utt23.wav,aku lagi males banget arep ngapa ngapa
speaker09_m_nn_utt24.wav,tulung bukakke jendela kamarku sedhela ya
speaker09_m_nn_utt25.wav,aku wis siap berangkat sekolah saiki
speaker09_m_nn_utt26.wav,kowe kok katon kesel banget iki
speaker09_m_nn_utt27.wav,aku arep nyapu kamar sakdurunge mandi
speaker09_m_nn_utt28.wav,udan deres banget wingi bengi tenan
speaker09_m_nn_utt29.wav,aku kesel nganti ora kuat mlaku
speaker09_m_nn_utt30.wav,sugeng dalu kowe arep turu jam pira
speaker10_m_nn_utt01.wav,aku arep lungo menyang pasar kanggo tuku sayur sayuran lan iwak seger kanggo masak ing wayah bengi
speaker10_m_nn_utt02.wav,dh w k wis moco buku crita wayang sedino muput mergo kepengin ngerti luwih jero bab pandawa lima
